condi	time	b1.mean	b1.se_mean	b1.sd	b1.X2.5.	b1.X25.	b1.X50.	b1.X75.	b1.X97.5.	b1.n_eff	b1.Rhat	b1.time	b2.mean	b2.se_mean	b2.sd	b2.X2.5.	b2.X25.	b2.X50.	b2.X75.	b2.X97.5.	b2.n_eff	b2.Rhat	b2.time	w1.mean	w1.se_mean	w1.sd	w1.X2.5.	w1.X25.	w1.X50.	w1.X75.	w1.X97.5.	w1.n_eff	w1.Rhat	w1.time	w2.mean	w2.se_mean	w2.sd	w2.X2.5.	w2.X25.	w2.X50.	w2.X75.	w2.X97.5.	w2.n_eff	w2.Rhat	w2.time	beta.mean	beta.se_mean	beta.sd	beta.X2.5.	beta.X25.	beta.X50.	beta.X75.	beta.X97.5.	beta.n_eff	beta.Rhat	beta.time	cond
1	1	-0.000787826730445926	3.15014418739455e-05	0.00281757461677602	-0.00624736838745227	-0.00268487410133161	-0.000860071062477874	0.00105494170889453	0.00484255482635004	8000	1.00022249490581	1	0.000683567484085447	2.72803687534364e-05	0.0024400303593578	-0.00400898468776306	-0.000955914254935353	0.000655282598943652	0.00230343652330156	0.00555933636878197	8000	0.999419601544616	1	-0.146890805806543	0.00637871747697926	0.570529835511663	-0.958045171228231	-0.630688919948274	-0.299713734606999	0.371279242022228	0.916976267404991	8000	1.00007301551295	1	0.122551855780764	0.00586782580404346	0.524834295118742	-0.89189324356931	-0.315484449862082	0.226116133931673	0.55389183402682	0.927809668247793	8000	0.999690195372466	1	0.00432952891434762	3.3464962529017e-05	0.0023782927699434	0.000762120531219296	0.00256185731620923	0.00397148400939351	0.00571876484786599	0.00990513811622211	5050.6810660215	0.999960650282948	1	swpc
1	2	-0.00308831420050801	3.98896216902712e-05	0.00356783622784786	-0.00993834458852344	-0.00538073181549914	-0.00314149279428133	-0.000832939025216528	0.00426931847700374	8000	0.999776438569998	2	0.00152528926896023	3.64870865348369e-05	0.0032635042317125	-0.00443762213592144	-0.000650898955673052	0.00134199295813153	0.00348595176037358	0.00857680337218586	8000	0.999759479171825	2	-0.41121352435405	0.00530301977454519	0.474316508076346	-0.973944041923013	-0.757985706769465	-0.5475667257427	-0.222245573006726	0.798063917508528	8000	0.999527508337129	2	0.189134534688963	0.00516135563341433	0.461645682094637	-0.795545432213328	-0.151797964503056	0.261343460599058	0.546833225327557	0.923434953631488	8000	0.999802087221898	2	0.00663248591694479	4.34970741537975e-05	0.0035823203342508	0.00111184272566289	0.00394585329819286	0.00619150314463413	0.00885065029864046	0.0147251659744163	6782.79586230468	0.999983710103774	2	swpc
1	3	-0.00411282267119022	5.46622305145388e-05	0.00464634716519487	-0.0132314332319981	-0.00721867765280382	-0.00410125289173335	-0.000999853684600926	0.00511607848349082	7225.17904883476	1.00137882551609	3	0.00341281158555007	4.81146424601827e-05	0.00410870741695844	-0.0045741059549291	0.000730303395377052	0.00330942439245585	0.00604010266602173	0.0118114040451692	7292.15525122258	0.999723601559021	3	-0.385292271675028	0.00541956538781827	0.447020883426255	-0.95856090277155	-0.705373385982305	-0.499203961441335	-0.184705900873779	0.718765655318716	6803.4109399673	1.00016700352895	3	0.333333885993855	0.0048258002435636	0.412963178476768	-0.64276052319022	0.118235845613351	0.407084973579972	0.620956834769331	0.952365176135622	7322.91474024536	1.00026387570778	3	0.00937350572935021	5.8920063296829e-05	0.0048731591653523	0.00173711782759101	0.00573740385340221	0.00880353429912328	0.01232019061468	0.0202888717222344	6840.60924988235	1.00073280185876	3	swpc
1	4	-0.00260382037232827	5.70714076984572e-05	0.0049432216126185	-0.0123307291201016	-0.00591759100877637	-0.0025669573736592	0.000809064796969405	0.00667317208991685	7502.10248089039	1.00072121541511	4	-0.00157517597223892	5.93320986456357e-05	0.0045762407012783	-0.0100945292685836	-0.00468436239199621	-0.00169338253259987	0.0012689204837546	0.0081231850958452	5948.92232824392	1.00069315573393	4	-0.253076903495959	0.00621485630625621	0.530271820558747	-0.958770878788925	-0.67738247446847	-0.401794123428647	0.171435179641264	0.864217490428104	7280.05924830985	1.00024597324448	4	-0.176095507486148	0.00643384434150624	0.512706284014849	-0.942425070465195	-0.584449028639657	-0.287399266524102	0.2329218017393	0.860634631760745	6350.3283551784	1.0007032044848	4	0.00829721708638015	5.87551134923802e-05	0.00443336005574634	0.00151492740488993	0.00496684578587536	0.00774358952005672	0.0109858366204349	0.0183661693449831	5693.43896151339	1.00018633807529	4	swpc
1	5	-0.00296357420632365	6.96825175691731e-05	0.00572103562331099	-0.0144740716773363	-0.00656696118648686	-0.00292068932524758	0.000800364001912746	0.00785170650852901	6740.64783579547	1.00026665339214	5	-0.00121461387977269	5.14125219321402e-05	0.00459847575739857	-0.0097791675772127	-0.00426946320614546	-0.00135012090896613	0.00162464588726319	0.00826425068993357	8000	1.00021328817582	5	-0.267438271039632	0.00645866022313385	0.551893509038119	-0.96493730984656	-0.71717128488335	-0.442243682488158	0.182332186515826	0.88408989485106	7301.72877463704	1.00032345750445	5	-0.130661329434179	0.00555496049846076	0.496850771475375	-0.922370405515531	-0.526913537341188	-0.212881759250225	0.263991373228597	0.856358636327727	8000	1.00054389480841	5	0.0088433428487002	6.48300660823513e-05	0.00490985114508268	0.00147883870586493	0.00517088026237983	0.00813415166319165	0.0117928694801539	0.0203303249137371	5735.66427029257	1.00001339063995	5	swpc
1	6	-0.00227673529487061	5.75448532805553e-05	0.00514696814762293	-0.0130054717912495	-0.00544704640964427	-0.0020721627842335	0.00118118219485375	0.00718144108680346	8000	1.00009367853599	6	-0.00368896893442319	3.71593033654763e-05	0.00332362913286966	-0.0101119992696649	-0.00584633378007265	-0.00372853989208388	-0.00160501272066932	0.00307988452893759	8000	0.999835017818841	6	-0.207556393951683	0.00572544141807914	0.51209904848071	-0.94310890724284	-0.623498899999446	-0.331631565020657	0.215611220785781	0.836151189541503	8000	1.00041713828814	6	-0.428067847042553	0.00421259663014302	0.376786097071453	-0.959813429114628	-0.698996306279784	-0.482776430364476	-0.25387610025196	0.55460602711633	8000	1.00000844844036	6	0.00853789312421295	5.72342471424209e-05	0.00441327384014247	0.0016722080583767	0.00531589848919156	0.00802662842338542	0.011132994220775	0.0187220453762228	5945.79323900778	1.00042569300914	6	swpc
1	7	-0.0011707989326484	7.43999038499327e-05	0.00577681930648058	-0.013243724108408	-0.00478980856014888	-0.00099103718509963	0.00259336966253187	0.00978423109618958	6028.82695161328	1.00048353349158	7	-0.00314579148576847	3.37411426344298e-05	0.00295371729595569	-0.00834342710101826	-0.00512054966823883	-0.00334651414889697	-0.00143317516318603	0.00336378020497657	7663.34328708256	1.00027347132439	7	-0.102276811714337	0.00719770848515184	0.569449398451939	-0.940381741922477	-0.60597073169885	-0.216901027572899	0.430691113181497	0.889246159433969	6259.24239670065	1.00058187794391	7	-0.39343597050454	0.00435285583438714	0.373266094261229	-0.948083877461321	-0.656948613364736	-0.437437716645638	-0.21502816413494	0.569343618003802	7353.40553358426	1.0006023756804	7	0.00826957914656531	5.57411639012341e-05	0.00430846441170234	0.00170373113701786	0.00517614420437462	0.00766238813773301	0.0107006621530306	0.0182638262624571	5974.38154174008	1.00030709773311	7	swpc
1	8	-0.00231692961865181	6.11773054725813e-05	0.00469387353179465	-0.0121629359924184	-0.00518208498511974	-0.00214210029024775	0.000767916368682453	0.00652987522137438	5886.83791989111	1.00136277200308	8	-0.00156842137904689	2.97372174934541e-05	0.00236611913959395	-0.00564323942361861	-0.00311676123846971	-0.00177596120744528	-0.000257180827523129	0.00369436074455109	6331.00357426166	1.00000682384719	8	-0.269490159550522	0.00746329597952102	0.579880442420498	-0.96749323153564	-0.742223226259043	-0.485552142144767	0.248296642621911	0.886126679990459	6036.92239103717	1.00155028350185	8	-0.267095089052411	0.0049040860470953	0.403540408862356	-0.919712117091452	-0.547735616938637	-0.310581681493467	-0.0557644530007868	0.696318428873912	6771.07923530428	0.999891372723106	8	0.0063956124184323	4.89874180340452e-05	0.00366668744129528	0.00107858252217818	0.00372694834646636	0.00577464238964431	0.00841703374043767	0.015053098256114	5602.45894215843	1.00003877580004	8	swpc
1	9	0.0019865165057754	5.27618299129846e-05	0.00413335091735889	-0.00584209308899797	-0.000664270569371295	0.0018963290171703	0.00453912321226879	0.0104390770318052	6137.12341575946	1.00034937725118	9	-0.000890263054700503	2.98618990811602e-05	0.00243527335898391	-0.00515442347449269	-0.00250388533087897	-0.00106723372997053	0.00047825279308189	0.0044738414176107	6650.59633510223	1.00032612806364	9	0.265992476816862	0.00707783611662492	0.588368658851245	-0.906761505294254	-0.269289493675813	0.48572612039084	0.750298184791718	0.970128261384508	6910.31836684282	1.00035480966458	9	-0.172662503097241	0.0054670996388804	0.449037088754967	-0.925430115061827	-0.493531629861823	-0.235541988808686	0.127021167971027	0.795009002765503	6746.06387517886	1.00062311051256	9	0.00561803270404955	4.51536967748768e-05	0.00329205194423072	0.000902358117150504	0.00319154615308903	0.00506917038533561	0.00744521805484677	0.0133286860095852	5315.53196323379	0.999931388388499	9	swpc
1	10	-0.00136106594398427	5.12540748682171e-05	0.00458430382116788	-0.00935098934235712	-0.00443212480226995	-0.00173954871993953	0.00121404597990538	0.00897843554162558	8000	0.999775179731332	10	0.00458031503642891	3.81308143134378e-05	0.00341052371369076	-0.00155799238325427	0.00229341787044146	0.0043466608165732	0.00659957036739378	0.0121303451173427	8000	1.00027046948176	10	-0.153695975213471	0.00607191033753372	0.481657769977075	-0.902091383463455	-0.521373054855753	-0.261797282332138	0.217187103070523	0.843193599799884	6292.54661663362	0.999925542850897	10	0.512298383875842	0.00400944704058042	0.332043784316872	-0.373508718542504	0.355339798263718	0.558915813712014	0.748496013626942	0.965954958929739	6858.38320130646	1.0008739015362	10	0.00857631457345699	5.62181182123913e-05	0.0042877043837966	0.00184955357807548	0.00540926941257763	0.0080706269459746	0.0110798577023105	0.0183560958049345	5816.97318378741	1.00040379033379	10	swpc
1	11	-0.00179354671356231	4.43610650195671e-05	0.0039677742775216	-0.00877530099550924	-0.00439702675699566	-0.00212856310464749	0.000489526411842633	0.00699821344596368	8000	1.0002199372341	11	0.00275841673690395	4.23320880985059e-05	0.00327734121713003	-0.00299642804869299	0.000570740986446938	0.00252475401331664	0.00462880492311246	0.0101425548581532	5993.82332138508	1.0004770896324	11	-0.244695000772903	0.00647232806075955	0.521404944302925	-0.953439790004262	-0.648499405564092	-0.388607548202668	0.137208407134135	0.879637809447437	6489.76911117485	0.999984425219405	11	0.350111452830296	0.00512124729212832	0.422976502721969	-0.71159243388145	0.141456875526983	0.432207826265096	0.656399786977108	0.954516558574683	6821.51737103404	0.999915842098641	11	0.00683268362553301	5.07290144498926e-05	0.00379952296530849	0.00120353804881068	0.00402432181915713	0.00626210049248788	0.00894415356535311	0.0159157219662427	5609.77312612895	1.00091467548298	11	swpc
1	12	-0.00298315472922452	3.70057282353989e-05	0.00307404821244519	-0.00867855092271608	-0.00498607764584658	-0.00317605976310753	-0.00109317602671605	0.00358968391310665	6900.54573972542	1.00025007638815	12	0.0039094904915019	6.04981513016653e-05	0.00389593582626688	-0.00290713644843052	0.00123195607608928	0.00358097126741397	0.00621096578612979	0.0124600493235011	4147.05105182096	1.00117987400642	12	-0.369263968594711	0.00493545744815921	0.390898560198463	-0.949439774900908	-0.640197132918661	-0.425923322822123	-0.195281307793139	0.646105640074919	6272.971548156	1.00026086041304	12	0.422401485708897	0.00562074718197861	0.398660100711766	-0.60294109255878	0.255110267374533	0.507629038296984	0.701879074173243	0.958216678494402	5030.57283669194	1.00057188421391	12	0.00797157730840095	6.26744174567892e-05	0.00415637061706226	0.00145413261075394	0.00490589609565412	0.00738894444919369	0.0105197978751428	0.0175087313939476	4397.92602395254	1.00050492384125	12	swpc
1	13	-0.000118456124402805	3.08614657780116e-05	0.00272099630816708	-0.00582241839297976	-0.00176192329138791	-8.18988291628742e-05	0.00163924917417624	0.00522791918206394	7773.61104244894	1.00051898722266	13	0.00245924761901179	5.01673450001395e-05	0.00339029560436941	-0.00352762982291768	0.000190178386164086	0.00225372461012396	0.0044251745758922	0.009901856011513	4567.01983801832	0.999906189574049	13	-0.0148819745860963	0.00565788693722855	0.496201480580957	-0.907878197398443	-0.40051212701691	-0.0256572903706578	0.379348810737613	0.880794127100274	7691.43868715155	1.00040972802731	13	0.36383687589948	0.00732699192695249	0.520968402978921	-0.840886161380829	0.0824053913550264	0.534321603447388	0.764012006837539	0.972422262174261	5055.58412846196	0.999939911608597	13	0.00534647229957527	4.56945957252091e-05	0.00319027156698721	0.00085166074140372	0.0030126432865582	0.00474301600137395	0.00711593009181943	0.0131089674129453	4874.45008923867	1.0005598131363	13	swpc
1	14	-0.00287262862726112	2.61660746546697e-05	0.00234036486528703	-0.00728404674190886	-0.00440862989976587	-0.0029167753128917	-0.00141381778020061	0.00183968542125185	8000	0.999893894215907	14	0.00340273878044145	4.58807074977867e-05	0.0033385626558345	-0.00231642895216141	0.00105501313518164	0.00307675592842171	0.00543056553313492	0.0109416646801949	5294.91325810422	1.00132714016933	14	-0.417698281035785	0.00426146760103969	0.347772424452332	-0.953083617519752	-0.653909861493906	-0.449442553019447	-0.255482762899841	0.480590853576891	6659.96434412231	1.00060056368747	14	0.423446649731856	0.00503994501002563	0.385619221852254	-0.552657943402694	0.248193745841582	0.509872451271803	0.69187011670265	0.955077472950003	5854.1756900205	1.00114163639805	14	0.0069347119413812	4.54924094044522e-05	0.00353689659331083	0.00138963260836455	0.00432825227367206	0.00644470283315268	0.00902323565987323	0.0150764976332261	6044.58999103892	1.00066456018662	14	swpc
1	15	-0.000826602784310454	3.30710516027803e-05	0.00295796477884881	-0.00701990514060252	-0.00256689333792276	-0.000741095500073063	0.0010781032917212	0.00472307861299953	8000	0.999401759857435	15	0.00145410898430826	3.57180836004753e-05	0.00260345176335406	-0.00293251572501402	-0.000319234489278009	0.00120702113909354	0.0029485487645059	0.00733838682207332	5312.7914967269	1.00188674043534	15	-0.131265112179346	0.00630054930289848	0.563538261474796	-0.945786462953701	-0.611479298077215	-0.250055254480032	0.370100592340971	0.910715955744968	8000	0.999628043070226	15	0.244640405276567	0.00644034742146872	0.498460687913222	-0.827708873869807	-0.13393756692613	0.348386803205899	0.645832130704479	0.950977157531739	5990.2263530485	1.00096989613668	15	0.00460598766326444	3.99540424143774e-05	0.00282655121337914	0.000748595514990513	0.0024977471499904	0.00405719923008419	0.00610015007496967	0.0114290766838965	5004.86381729805	1.00104902125115	15	swpc
1	16	-0.000771319759240952	2.30148622231377e-05	0.00205851185694912	-0.00507898917465346	-0.00209681788301691	-0.00070901423452896	0.000557365439507462	0.00324814740113505	8000	0.999608612099542	16	0.00135069393584422	1.73139175354204e-05	0.00154860386264103	-0.00137371061187788	0.000405091721947248	0.00116322593456952	0.00212408248594087	0.00491367237848177	8000	0.999846492923291	16	-0.178212370732887	0.00613464433764469	0.548699270270308	-0.942503942733286	-0.63615527065972	-0.315404474747106	0.29655686147486	0.880848981205581	8000	0.999611473317027	16	0.380158601657592	0.00448543503209723	0.401189505617134	-0.638432189290628	0.181940652058057	0.435516568094846	0.671797002925477	0.961880702080496	8000	0.999649445888971	16	0.00329343389989603	2.39744141310204e-05	0.00193065775340121	0.000558154123513899	0.00185156657421942	0.00295474395521911	0.0043806879254718	0.00786901610902973	6485.06869629804	1.00019023725053	16	swpc
1	17	0.000885338893864983	2.54051724681835e-05	0.00227230770475858	-0.00349811362019059	-0.000590530987593096	0.000862063517037548	0.00237436077591968	0.00543775634431059	8000	1.00020532416646	17	0.00199991481035777	2.24979400680013e-05	0.00201227693383069	-0.00205271821881847	0.000683240366808335	0.00200399550784325	0.00328469934567921	0.00611563080700233	8000	0.999738953684916	17	0.181568959345389	0.00548605460476859	0.490687640981532	-0.823730592240388	-0.206899739195957	0.266496062124235	0.576859400146843	0.931797602965532	8000	1.00022932475277	17	0.434586821512447	0.00470454161089648	0.420786993797636	-0.646255568785518	0.247131487218087	0.530192639205251	0.745017407620718	0.971181838056693	8000	1.00055177301975	17	0.00425477699885132	2.76681786429609e-05	0.0021491937261028	0.000808533769138253	0.0026323881041096	0.00405058538089642	0.00555999051994743	0.00904705543977507	6033.78715358537	1.00036596375626	17	swpc
1	18	0.000313476671356937	2.27956576479771e-05	0.00203890560370759	-0.00366403301435794	-0.00102605540267253	0.000278560118482929	0.00167588763977655	0.00441750269990826	8000	1.00054753363209	18	0.00162288302705403	2.08960714778745e-05	0.00186900145148887	-0.00219626110105855	0.000507368005492337	0.00165352999650925	0.00275856888542758	0.0052887888129946	8000	1.00035306214319	18	0.0755505592667972	0.0058569973066174	0.513636563364208	-0.862168204893884	-0.356327758893472	0.122887845677079	0.50700138820756	0.921876307799545	7690.62817088359	1.00027092572322	18	0.405882088120835	0.00526578195436863	0.449404869659518	-0.756373624606738	0.224367603305198	0.516938102677599	0.732078024440915	0.966960013264329	7283.66234017463	0.99975303207695	18	0.0036524433643502	2.48272859089231e-05	0.00188803761690708	0.000692869161936366	0.00224353444452652	0.00343097805388104	0.00477784314724394	0.00796165457090617	5783.12786379421	1.00062432850761	18	swpc
1	19	0.00117852125044778	2.43657712158659e-05	0.00217934083051535	-0.00304632386673998	-0.000288185800917384	0.0011293402506829	0.00260726019983004	0.005594658258945	8000	0.99975281650152	19	-0.000329101377569363	1.89743114787688e-05	0.00169711401171126	-0.00363971285632606	-0.00143453973641683	-0.000354720668677144	0.000783586359376365	0.00297919062254043	8000	0.999529081954468	19	0.277648573954035	0.00623148026155061	0.557360538611014	-0.886174948401997	-0.181062339397	0.467971106159487	0.728371760210183	0.966537430099465	8000	0.999693847186083	19	-0.0864884822526978	0.00556022939268838	0.497322035701744	-0.912926907125178	-0.474599081730063	-0.159871562230989	0.311161833901379	0.87723006399338	8000	0.999502942061288	19	0.00331799915693839	2.58334247652335e-05	0.00186913884432251	0.000588906305255405	0.00192497539121539	0.00302350503403881	0.0044225113698268	0.007688782730291	5235.02977767311	1.0007308365464	19	swpc
1	20	-0.00152912431552037	3.19679702079735e-05	0.00256777170941208	-0.00624411966350033	-0.00324699161550479	-0.00165265886739041	2.30053656347096e-05	0.00394754542997311	6451.82673384922	1.00015864742125	20	-0.000535542321001121	2.61931662540855e-05	0.00221109429859814	-0.00483534852826234	-0.00200472859092637	-0.000541018123131898	0.000894167999110351	0.00387878901695171	7125.88042483101	1.00022888789927	20	-0.320462875488519	0.00674304505290907	0.526790430653732	-0.96763935775952	-0.728929235608395	-0.489996372241526	0.0137189640363693	0.85186324461037	6103.28473871089	0.999596909476986	20	-0.114450441536825	0.00584553704357267	0.495827095888248	-0.923657210083402	-0.51009696525107	-0.185301818504271	0.284747834256882	0.845664526276915	7194.68325050259	1.00006813823717	20	0.00421656944434616	2.98948037554195e-05	0.00224728038201099	0.000750528769995068	0.00251701970808843	0.00397327976037476	0.00559580135923721	0.00935379264965882	5650.971375921	1.0008816504851	20	swpc
1	21	0.000140540438476421	2.06413453028958e-05	0.00184621804977284	-0.00304827151575551	-0.0010634832369863	-2.07851104577772e-05	0.00116084805364403	0.00435003606855666	8000	1.00000594994241	21	0.000455057322090174	2.53342434993576e-05	0.00207015204311036	-0.00331666052365343	-0.000928921221975132	0.000348346087863938	0.00174446618899093	0.00486487818711633	6677.11115737773	1.00063773590385	21	0.0144731879506606	0.00601775356793438	0.538244241989727	-0.901370254977981	-0.428817607865696	-0.0118936740681294	0.477227596457763	0.928945833866577	8000	1.00045366892065	21	0.0980042653241878	0.00702787976344638	0.586475505331241	-0.921492250278109	-0.440856617721665	0.198367209141037	0.624298606091361	0.952011732475929	6963.87730480757	0.999977566096422	21	0.00304653616734629	2.3559645010874e-05	0.00178906462821414	0.000520521767835708	0.00174069837317326	0.00273451878895492	0.00403321967513831	0.0073261905568206	5766.53024113723	1.00072612828466	21	swpc
1	22	0.000217426790498139	0.000949909716816027	0.00193480986496844	-0.00410616409390038	-0.000104550277836568	0.000119507061585589	0.00067243492903879	0.00339795751174626	4.14869899113134	7.84808069876243	22	0.000101645785560822	0.000695676561349599	0.0014018288309014	-0.00291672133820559	-0.000531339278525556	-1.75040797745218e-05	0.00138759392061816	0.00206973683805151	4.06045996304911	8.3199031755992	22	0.265369498536017	0.269912073399278	0.547522240798603	-0.670963614414388	-0.0694883936757224	0.225150111776635	0.938070601985736	0.980257800133108	4.11489642164645	6.6574794194875	22	0.0282627486886138	0.320862706531663	0.647293771965784	-0.952379033271661	-0.76801436542837	-0.0222694615912934	0.6936507740539	0.981019660617126	4.06971851299739	7.45549250482229	22	0.00230012086626077	0.000874348125907247	0.00179297323776739	0.000400128814995737	0.000655851269733276	0.0021052635993557	0.00310977808482965	0.00612300772654242	4.20512439485701	6.67536424815354	22	swpc
1	23	0.00176565627758084	0.00158224553352539	0.00317091926932196	-0.0010315751344174	0.000237382974957456	0.000702393633605913	0.00187827845973543	0.0099959808916994	4.0162673393294	27.5226098611088	23	-0.000290309273727633	0.00115040338879789	0.00230542643544708	-0.0050815682956272	-0.00107945998917419	-9.32825547639293e-06	0.00147930305290644	0.00272382791994291	4.01607886648888	23.6995352857118	23	0.450176869372308	0.197150729446252	0.40283206135797	-0.330451954277621	0.141529507123897	0.388610242086871	0.789281979121623	0.980253501997044	4.1749500211599	6.54983670952662	23	-0.0158695358186523	0.272433536053501	0.555141015475382	-0.865056360147562	-0.419242133001824	-0.0299241944427347	0.611284745732106	0.750912312209211	4.15226914564753	8.04050502648173	23	0.00377703794539717	0.00181899486637822	0.0036434295789517	0.000213466676482338	0.00179939802171791	0.00260125616860507	0.00428146088431031	0.0126845564755718	4.01197125592182	28.0345439960707	23	swpc
1	24	-0.00120501866841263	3.65435797101444e-05	0.00288113986358485	-0.00646758712779041	-0.00311247250908003	-0.00136763717310806	0.000471093781634346	0.00515369780232366	6215.93562407613	1.00082281153467	24	0.00238587310990618	2.34776629504993e-05	0.00207534356124542	-0.00163908276799754	0.00100235879321731	0.00238686384885223	0.00374200175264905	0.00653674893556777	7813.94368399613	1.00006401554444	24	-0.212504810395203	0.00636668452594325	0.496833759285197	-0.932955298282246	-0.592615478350681	-0.339648950240526	0.163793620855472	0.837876835947601	6089.69489777407	1.0010845247734	24	0.441884510407306	0.00442831450827975	0.374346092502012	-0.553528761631449	0.278132220473104	0.505402742322887	0.705241831479281	0.959966049142971	7146.1099314179	0.999878803269083	24	0.00513781812120176	3.10060017980365e-05	0.00255383785344005	0.000985961523893436	0.00324774779776466	0.00488231286721041	0.00670093328916377	0.0108632850417685	6784.14472337764	1.00087829592121	24	swpc
